tipus,szerzo,cim,vers,link
poz,Molnár Józsefné,Õszintén szeretni,"Tanulj meg igazán szeretni, szomorú könnyek helyett őszintén, nagyokat nevetni. Kihasználni az életet, majd a gond nélküli éveket. Szemlélni a kék eget, elfelejteni a fájó emlékeket. Szeretni a valóságot, és bejárni a nagyvilágot. Gyengéd érintés, kell még egy ölelés, a pillanat, mikor a szeretet a szívedben örökre megmarad. Belső egyensúly, béke a tested menedéke. Tanulj igazán szeretni, és másiknak örömöt szerezni.",https://poet.hu/vers/393239
poz,Miczi Meláni,Nem mondtuk ki,"Nem mondtuk ki, mégis tudtuk, szem a szembe összefutott, nem kellett szó, nem kellett hang, csak egy tekintet - és ott voltam. Nem kértem el a kezedet, mégis fogom, ha senki se lát, nem csókoltalak meg soha, de a szívem már régen nálad járt. Nem volt köztünk semmi talán, de bennem minden te vagy. A gondolatom, a csendem, az álmom, a pillanat, mikor újra meglátnak. Nem kaptalak meg - és mégis: te vagy az enyém.",https://poet.hu/vers/393225
poz,Vágány József,Van egy szó,"Van egy szó, a széthúzás, vagy én, vagy senki más, halad a hazug, jó a rossz, nem azonos a hullámhossz. Van egy szó, a gyűlölet, az önző magának gyűjtöget, nem számít, másokkal mi van, amíg nekem jó vizuálisan. Van egy szó, az irigység, neki honnan, még nem elég? Aki fényez, azt követem, nem számít, hol a gyökerem. Van egy szó, a bizalom, aki más mond, azt vitatom, és nem bízok meg senkiben, mert én vagyok a kisisten! Van egy szó, a szeretet, ha kell, nyújtsd a kezedet, élj őszintén, szerényen, és ne higgy a mesékben!",https://poet.hu/vers/393193
poz,Bosánszky Lemmy Zoltán,Apró,"Apró cipőcskéd cipőfűzői Úgy fonták át lényemet, Mint nedves földeken Hosszan elnyúló körtekert. Apró szívecskéd rezzenései Úgy kúsztak át lelkembe, Bíborkék szőlőszemeket Lopva félhomály kertembe. Apró gondolataid elhalnak, Mikor épp álomra készülsz, Édes, hideg barackbefőttet Falatozgatsz szünet nélkül. Apró életed halvány foltja Úgy megy át szivárványba, Kis tiszavirág halkan jajgat, Mikor a vízbe visszacsobban. Apró vagy, kis, törékeny leány, Mélyen szerethető személy, Aprópénz a morzsák közt, Én sem tudom, honnan jöttél.",https://poet.hu/vers/393100
poz,Szuchánszki Aranka,A tövisek is...,"Az ember azt hiszi, a szeretet olyan, akár egy csokor illatos, vörös rózsa, senki nem mondta, hogy tövise is volna, megszúr, s a szúrás a rózsának is sorsa. A tökéletes szépsége illúzió, egy szűrő, hogy azt hidd, neked ez lesz a jó! Mindig a szép oldalát mutatja feléd, a törött, vérző szívét elrejtette rég. A szeretet nem mindig csak a gyengédség, ott a falain keletkezett repedés, a valóság durvasága, az épült falak nyersessége, mi megtöri szárnyaidat. De ha a szeretet egy csokor szép rózsa, tűrni kell a tövis fájdalmát is róla! Azok emlékeztetnek majd téged arra, hogy a szeretet nemcsak a szépet adja. És bár a szeretet nem lehet függőség, nem lehet birtoklás, nem lehet gyengeség, azért mégsem lehet mindig tökéletes. És élni mégis mindig, mindig érdemes!",https://poet.hu/vers/393099
poz,Asztalos Tamás (flagranti-poeta),Egy álom lenyomta,"Egy kertben ültem halk fák alatt, Lágy szellő játszott a lombok közt. Ismétlődő kép a szemem előtt, Fájó, ám csodás érzések között. Nap, amely aranyfény-fátylat arat, Világ egy pillanatra szép képbe öltözött. Te ott voltál, mintha mindig ott lettél volna. Nem szóltunk, elég volt a táj és a pillanat. Lelkedben szeretet, semmi más, Én csak figyeltem arcod ívét. Nem volt se múlt, se közös jövő, És az idő lelassította szívünket. Nem kérdeztem, nem vártam el, Csak ott voltál, és én megőriztem, Ahogy a fény hajadra lehel, Ahogy a lét szelíden elcsendesül ott. És mikor újra felébredtem, Nem volt harag, csak hiány, üresség. Ám a csodás kép velem maradt A szívemben, mint egy halk imádság.",https://poet.hu/vers/393078
poz,Aradi Gábor,Kenyir,"Alap, mit mindenki ért, az élet, az otthon, Boldogulás, szeretet, mit a szíved adjon, Belé s oda a mag töretének nedve mellé, Mi világot jelent mind, de földet is eggyé. Nemzetet kultúrával s mindenféle vérrel, Kinek jó dolgos keze törődőn kalászt érlel. Tradíció, mi megtart, nem vesz el, csak ád, Aratók ünnepén büszke az egész család. Mert lehetsz keserűen száraz vagy ropogós, Büszke nemzeti szalaggal átkötve lobogós. Mert dolga közben csak annyi, amit tehet, Hogy átadott szeretettel tölti meg szívedet. Hát ünnepeld egyszerre s mindig tovább Szent Istvánt s a hazánk étkeinek királyát! Mert nem az a magyar, ki pódiumra fölhág, Hanem ki izzadságával egy népnek enni ád. Hát jó gazdag, új magyar vekni, minden falatod, Kinek-kinek hite szerint az tiszteletet megadod. S hirdeted boldog teli szájjal mosolyogva te el, Magyarnak lenni jó, és közben éhes sem leszel.",https://poet.hu/vers/393033
poz,Gyuriczné Gy. Mária,Az igazi szeretet,"Az igaz szeretet sosem hangos... S az se kell, hogy romantikus legyen. Nem harsány, se hivalkodón zajos, Csak ott van rendületlen, csendesen. Biz` ott van rendületlen, csendesen. Nem harsány, se hivalkodón zajos, S az se kell, hogy romantikus legyen. Az igaz szeretet sosem hangos... . . . Mint orgonabokor kert sarkában, mely eláraszt mindent illatával...",https://poet.hu/vers/393015
poz,Horváth Edina,A gyógyító szeretet,"Öleld át a sok-sok megfáradtat, Hisz a szeretet az, mi éltet minket. Egy mosoly nem kerül semmibe, Az igaz szeretet, ami segíti a lelket. Merjünk szeretni, merjünk átölelni, Azt, aki fél e fagyos kis világban! - De ne félj! Mert nem vagy egyedül Eme kicsiny kis Magyarországban! Legyünk mi az Isten szerető embere, Merjünk zsoltárt mondani a szívnek, Legyünk kedvesek azokhoz, kik sírnak, Akik félnek nagyon és akik éheznek! Az igaz szeretet, ami gyógyító, Ami minden embernek, állatnak jár, Ott is, ahol mindig fagyos a nyár, A mély szakadékból, aki kiszabadító.",https://poet.hu/vers/392965
poz,Neszvecskó Ferenc,Életem,"Előzmény: Életem - 4. részlet Elballagtunk, néztem hátra, megismerjem erre járva helyet, szagát, mert nem hiszem, bőröm önként ideviszem, valaha is itt bóklászva nincs szükségem önként gyászra! Hazafelé úgy örültem, pórázomat szájba gyűrtem: Bűnös te vagy! Odavittél, ahol retteg, aki itt él! Dörmi ezen jót nevetve kisért szabadon eresztve. Hazamentünk, folyt az élet, néha falka szerteszéledt, én őriztem egymagamba` barlangunkat jól belakva, a fejemben a sok kérdés kergetőzött, mint kisértés. Hisz rácson túl, a szobákban nem kophatott soha lábam, így hát kint a szekrény előtt választ váró fejem ledőlt, rá cipőre, vagy papucsra, mikor mi várt ilyen szuszra. Sötét párszor cserélt Fénnyel, folyton jött nap vendég lénnyel, mind dicsértek: ""Szép! Meg okos! Testvérem, sok gondot okoz? Hogyhogy még nem szobatiszta?"" Dicséretből vettek vissza. Szobatiszta. Na, az meg mi? Tudás, tett mi kiérdemli ezt a különös hangözönt, mivel elvárás rám köszönt? Rájuk hagytam, majd kiderül, ha megfejtenem sikerül! Dörmi újra eltűnt, hova? Elhalványult szaga nyoma, nem tudtam még, hogy majd mindig szavai a búcsút hintik, amikor ő korán reggel engem simogatni felkel. Újra kvartett lett a falka, Barátnőm vitt erre-arra, ám kerültem minden rokont, pedig léptem el nem osont, néha velük a mélabú mondatta azt: Vaú! Vaú! Mamát láttuk majd` naponta, léptünk honát útba fonta, abba, melyen körbementünk, nála mindig mosolyt leltünk, örömből ott feltankolva jártam pórázt marcangolva. Fogyó fényben vagy sötétben olykor Noé szabta léptem, tette hányszor azt kereste, most ráér-e? Avagy rest-e? Szabival? Legjobb volt talán, mindketten ajnároztak ám! Barátnőmnek mindamellett velem legtöbb útra tellett! Naponta a kettő-három hasznos volt, most már belátom! Tanítgatva szeretgetett, örömmagot belém vetett. Gyakoroltam minden napon, érte falatom megkapom. ""Gyere ide! Ne menj oda!"" Nem lesz ennek vége soha? ""Ezt ne csináld! Azt nem szabad!"" Hogy döntsd el ezt te önmagad? Legszebb része: ""Ül! Ül! Fekszik! Pacsit ad! És nem veszekszik"" Ám, ha sok volt már a munka, gondoltam, nem válik javunkra, jelezte a hangom, tettem, hagyjuk most azt mind a ketten! Ráadásnak jött még játék, Barátnőmmel mily ajándék! Ággal, avagy csak anélkül, kötekedtünk kicsit végül, harapdáltam, simogatott, két szív cserélt szép csomagot! Hanem egy nap mégis orvul póráz vitt el arra zordul, ahová én nem siettem, sőt, elszöktem volna menten! A Barátnőm ezt meglátva dédelgetett karba zárva. ""Ne félj, Cuki! Kicsit szúrnak! Köszönd meg a doktor úrnak! Szabad leszel, vígan járhatsz, rokonokkal szagot válthatsz!"" Kicsit, kicsit, miért engem? Hogy legyen így vidám kedvem? Örömömet mind feladtam, asztal úgy járt ott alattam! ""Na, nem is fájt! Pár hét múlva gyere bátran, ne elbújva!"" Neki nem, hisz én kaptam, hívó szavát hátra hagytam. Szomorú lett kicsit szívem, Barátnőmben lehet hitem? Idehozott ő, meg Dörmi, hol tudnak csak meggyötörni! Csakhogy már a hazaúton megint játszott szívben húron! Hisz a játék, meg a tette volt bánatom feledtette, azonban a gyomrom tudta, ha arra visz lábam útja, kicsi legyen, meg riasszon, fejben ideg küldte passzon. Cseperedtem, növögettem, de még örök magányt ettem, hisz rokonok, szőrös társak közelembe biz` nem jártak, nem tudhattam, hogy majd mi jő, mit hozhat a múló idő. Fényárt elüldözte sötét, az sem hagyta ám az övét! Visszatért, a sötét tűnt el, szürkeség volt néha bűnjel, hogy bizony ők veszekednek, egymás ellen fenekednek! Mikor ők küzdöttek jó párat jött újfent a Dörmi járat, képzelj bödös, zajos dobozt, olykor jókedvet okozott! Ugyanis mi mindannyian örültünk, hogy velünk ki van! Hozott mennyi új, friss szagot! Azokból sok málhát lakott. A szívük meg táncolt szebben, enyémet is köztük leltem! Attól kezdve megint többen dédelgettek varázsködben. Ám a gond az egyre ott járt, ha ösztön jött, tettem nem várt, nem értettem mi itt a baj, szidalmazás, sóhaj, a jaj! Hiszen tudtam, egy helységben megteszik ők szintén, kérem! Nekik lehet? Nekem meg nem? Azért is! Szólt durcás kedvem. Barátnőm lett kissé durva, fenyített, orrom rádugva! Hú, ez ronda! Milyen ocsmány! Gondolkodtam világ dolgán. Megérthetném én teljesen, mit kellene fogjon fejem? Így történt még jó néhányszor, hogy az orrom jutott gyászhoz. Akkor sem lett még az tiszta, tetteinek mi a titka! Hanem egyszer nem várt tovább, mikor nézte előszobát: ""Már hanyadszor kell ezt tennem? Fal is érti! Te meg még nem?"" Kivágott a lépcsőházba, félve, gyászban néztem hátra. Attól kezdve csak nagy bajban könnyített a sors bent rajtam. Úgy örültek! SZOBATISZTA! Ilyen kicsin? Nagyon ritka! Pedig dehogy, a fajtársak elmondták, ez hogy ment másnak.",https://poet.hu/vers/392813
