tipus,szerzo,cim,vers,link
poz,Niiki,"Az leszek, minek te kívánsz","Az leszek, minek te kívánsz, Ha kell, feladom érted önmagam. Nem számít úgysem, hisz így látsz, A konok önérzet itt már hasztalan. Az leszek, minek te kívánsz, Ha csend kell, ígérem, hallgatok. Ha kéz kell, mi óv, s vigyáz. Tudod, örökkön veled ballagok. Az leszek, minek te kívánsz, Az igazam többé nem vágyom, Ahogy akarod, velem úgy bánsz, Lehetsz rideg tél, szép álom. Hát az leszek, minek te kívánsz, Hogy ki vagyok, én már nem tudom. De nem számít, mert így, így látsz, S én is, anélkül, hogy szemem lehunyom.",https://poet.hu/vers/394075
poz,Tóth Zoltán Attila,Tizenhárom év,"Drága Feleségemnek Tizenhárom éve lettél mindenem, Egy pillantásból született szerelem. Azóta együtt sírtunk, nevettünk, Tűzön-vízen át - kéz a kézben mentünk. Volt, hogy vihar tépte szívünk kertjét, De együtt gondoztuk tovább a reményt. A jónak örültünk, rosszban tanultunk, Nem csak házasok, de társak is voltunk. Tíz év után - szívem rég döntött, Életem Veled teljes és kötött. Akkor kértelek: legyél örökre társam, S már három éve Feleségem vagy álmomban s valóságban. És bár az idő ráncokat is sző, A szívemben ma is ugyanúgy nő Az érzés, mi akkor lángra kapott - Sosem hunyt ki, csak egyre nagyobb. Te vagy otthonom, csendem, zajom, Mindenem vagy, minden dalom. S ha újra kezdeném - csak Veled tenném, Mert Te vagy a kincsem, az örök szerelmem, a lényem.",https://poet.hu/vers/394067
poz,Földi László,A hegy,"Elindultam életem ösvényén, mely, úgy hiszem, Hozzád vezet. Nem látom, mi vár a legvégén, mert előttem van ez a hegy. A hegy, mit kikerülni nem tudok, mert a tetején kell leraknom terhemet. Lehet, hogy sokáig tart, mire feljutok, de meg kell tisztítanom a lelkemet. Ezt a hegyet én teremtettem meg, és legyőzni is nekem kell majd. Lehet, hogy a lábam néha megremeg, de felejteni akarok bút s bajt. Az utamon nem kísérhetsz el, mert Te is mászod a hegyedet. Talán felém indultál, s egyszer megfoghatom majd a kezedet. Mert mi vezeti az én lépteimet, az az irántad érzett szeretet. Ami bearanyozza az életemet, s így elbírok bármilyen terepet. Ha egyszer felérek a csúcsra, le fogom tenni minden terhemet. Elnézek majd a horizonton túlra, s keresni fogom páratlan fényedet. Nem tudhatom, hogy mikor megérkezem, ott leszel-e, s fogsz-e várni rám. Csak azt tudom, hogy én ott leszek, s várni foglak minden esős délután. Mert döntsön a sors bármit is, a szívem mindig a Tiéd lesz már. Ha nem lehetünk együtt, akkor is, Te szabadon szálló, gyönyörű madár.",https://poet.hu/vers/394044
poz,Dobos,Az Otthonom,"Álmaimban is üldözöl, Melegséged üdvözöl, Buta játékokat játszva Csalunk mosolyt egymás arcára. Erősen szorítottad a kezemet, S én is a tiédet, Nem tudom megállni, Hogy ne érintselek meg téged. Akárhányszor rád nézek Vagy rád gondolok, A boldog percek órákká nőnek, S rájövök, hogy te vagy az otthonom. Képtelen vagyok mással azt érezni, mint veled, Te egyedi voltál, vagy, s remélem, leszel is nekem.",https://poet.hu/vers/394022
poz,B. Beáta,Ölelés!,"Csak egy ölelés. Csak egy kis érték. Valami különleges, Valódi érzés. Gyógyító megérzés. Melengető, szívből jövő. Sebeket elfedő. Igazán lelket melengető! Ritka kincs. Lehet több ebből?",https://poet.hu/vers/393949
poz,Marc Stefensson,A kérdés,"Nem az a kérdés, hogy át fognak-e újra verni, hanem inkább az, tudsz-e utána még szeretni. Nem is az a kérdés, hogy megszúrnak-e tőrrel, hanem inkább az, hogy utána karod még ölel, vagy ölre mész-e a saját, szeretni vágyó öllel? Még csak nem is az a kérdés, hogy: a becsmérlők fognak-e becsülni? Hanem inkább az: Miután aláztak, tudsz-e lélekölőt még emberszámba venni, és nem csak elkerülni? Meg se kérdezd: Hogyha tisztán szeretnél élni, gyalázatban lesz-e részed? Ott, ahol a Szeretetnek bár nem kell félni, de mindenáron küzdenek, hogy hidegüljön, kopjon és ne tudjon élni. De Ő nem tud nem élni. A kérdés: Elfogadni, komfortzónát csókolgatva, Jó lelket egyre apasztva, a világgal besodródva már most égve égni? VAGY: Tisztaságot keresve, Jó lelket vállalva, fájdalmakkal számolva, szeretetben már előre dönteni, hogy szeretni fogok... akkor is, mégis, mert élni akarok... Élni!!!",https://poet.hu/vers/393941
poz,Sájtli Márk,Szeresd az életet,"Szeresd az életet, Mert ő lehel S hord ölén, Míg valami világnak látszót Magad körül látsz, Míg annyira éber vagy, Hogy elfelejted szívedet, Mi, ha nem figyeled, Akkor is zakatol tovább, S ha pár másodpercre megállna, Jaj neked, s már magadnak integetnél, Túlságosan szeretnél, s túlságosan szeretve lennél, Szeresd az életet, Mert amíg vagy, Ő hűséges hozzád, S kegyesen elaltat, Úgy hozza el a halált, Nem hagy ébren, Míg ébren vagy, ő hű társad, Ha megszakad szíved, Vagy ha fáj minden este a lábad, Kezedet fogja, s veled együtt vénül, Mint a jó házasság, Igazán a sírok kapujában szépül, Szeresd az életed, mert ott görnyed veled, Mikor magad vagy, s ütnek-vágnak, Kezedet fogja, mikor utoljára látnak, Szeresd az életet, mert sosem hagy magadra, Mert mint ki sosem volt, Érted úgy terül rá a kegyes gyász hatalma.",https://poet.hu/vers/393914
poz,Kovács Viktória Katalin,Elveszett realitás,"Egy pillanatra elveszel a jelenben, A bódultság tetőfokára hág, Elmerülsz a világ tökéletességében, Elveszted a realitást. Ott állsz egyedül, némán, A pillanat téged szolgál, Nagy csobbanással ugrasz a jelenbe, Hátrahagyva a múltat percekre. Tested bizseregni kezd, lábad remeg, Szíved hevesebben dobog, az elméd elveszett. Nincsen józanság, csak az ösztön vezérel, Lelked ragyogni kezd, a pillanatot megéled.",https://poet.hu/vers/393909
poz,Eszláry G. Joel,Akut - Paradox,"Földi testben járó angyal, Ördögi tekintettel. Jöttél fényes tavasszal, Beteg szerelmeddel. Sötét kamrába zárva, Leláncolva, szabadon. Saját börtönét várva, Háremben élő hajadon. Rám néztél, óvó ítélettel, Mikor nem kértem, adtál. Mérgeztél csillogó tekintettel, Ahogy egyhelyben szaladtál. Sivatagba vetettem magot, Majd öntöztem szép folyót. Hallottam néma sugallatot, Zongorán énekeltettem vonót. Te jöttél, mikor nem vártalak, Vendégségbe sem készültem. Megvakultam s úgy láttalak, Mikor karjaidba szédültem. Angyaltestbe bújt démon, Végzést nyújtó kegyelem. Így sújtott több paradoxon, Így sújtott a szerelem.",https://poet.hu/vers/393897
poz,Budai Gabriella Ágnes,Talpfák illata,"Olajjal kevert fa szaga a vasúti talpfák illata. Nyári melegben párolog, emlékek vonatja átrobog. Szívemen... Nagymamám háza feldereng vasút melletti kerteken. Gyermeki ábránd nem felejt, fagylaltról egy gömböt leejt. Nincs nekem... Van nekem mamácskám, bölcs-puha, átölel szeretőn, mint ruha. Selymes is, bolyhos is végtelen, Mesét mond, nyílik az értelem. Lelkemen... Vasúti talpfákon átmegyünk, piacra így jutunk s veszünk lángost és barackot édesen, merengek gyermeki édenen. Ízeken... Ha vasúti átkelőn átmegyek, lélekben mamácskám integet. Így lesz a talpfák illata ezerjó emlék zamata. Nagymama...",https://poet.hu/vers/393871
